    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  1.1367000e+05  2.1835100e+03  1.4178922e+02  5.7558277e-07  1.0431500e+04  6.4999996e-04  3.8864830e-07  8.3333328e-06  4.3364802e-07  9.9999999e-09  3.3325696e+02  6.0223538e-07  1.9782808e-07  9.9789403e-09  2.3826725e+02  2.4586393e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1373000e+05  2.1835100e+03  1.3875363e+02  6.5518364e-07  1.0431500e+04  9.6667082e-04  3.2636641e-07  2.4999998e-05  4.4303273e-07  9.9999999e-09  2.8449276e+02  5.5028514e-07  1.9527507e-07  9.9789403e-09  2.3329013e+02  2.4071834e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1379000e+05  2.1835100e+03  1.2556647e+02  6.9524233e-07  1.0431500e+04  7.4166662e-04  3.9794372e-07  8.3333328e-06  5.0021297e-07  9.9999999e-09  2.9914348e+02  5.7966981e-07  2.2217745e-07  9.9789403e-09  2.1132538e+02  2.1790144e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1385000e+05  2.1835100e+03  9.7945007e+01  6.9023985e-07  1.0431500e+04  9.6667365e-04  3.9341526e-07  0.0000000e+00  4.2452702e-07  9.9999999e-09  2.7709554e+02  6.1076658e-07  2.0167923e-07  9.9789403e-09  1.6510834e+02  1.7024101e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1391000e+05  2.1835100e+03  1.2406555e+02  6.4129989e-07  1.0431500e+04  9.7500969e-04  3.8909827e-07  8.3333328e-06  4.2721949e-07  9.9999999e-09  2.9755306e+02  6.4515259e-07  2.2469618e-07  9.9789403e-09  2.0933855e+02  2.1592834e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1397000e+05  2.1835100e+03  1.0488540e+02  6.3774502e-07  1.0431500e+04  9.4167016e-04  4.0502940e-07  1.6666666e-05  3.7641337e-07  9.9999999e-09  2.7246723e+02  6.2537690e-07  2.8352418e-07  9.9789403e-09  1.7630429e+02  1.8187863e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1403000e+05  2.1835100e+03  1.1101417e+02  5.6537105e-07  1.0431500e+04  7.7500347e-04  3.5254429e-07  2.4999998e-05  4.3703005e-07  9.9999999e-09  2.6444949e+02  5.6134791e-07  1.9193399e-07  9.9789403e-09  1.8695041e+02  1.9290844e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1409000e+05  2.1835100e+03  1.0597658e+02  7.1010879e-07  1.0431500e+04  1.0083365e-03  3.9454223e-07  0.0000000e+00  5.2583516e-07  9.9999999e-09  2.5013930e+02  6.0343666e-07  2.3964620e-07  9.9789403e-09  1.7812924e+02  1.8385444e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1415000e+05  2.1835100e+03  1.3020633e+02  6.2257524e-07  1.0431500e+04  8.5833328e-04  3.4590599e-07  2.4999998e-05  3.5600667e-07  9.9999999e-09  2.7011117e+02  5.3719428e-07  2.3028950e-07  9.9789403e-09  2.1926650e+02  2.2616050e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1421000e+05  2.1835100e+03  1.3120599e+02  7.1037095e-07  1.0431500e+04  8.3333328e-04  3.5452590e-07  1.6666666e-05  4.8837232e-07  9.9999999e-09  3.1086917e+02  6.3142701e-07  1.8546207e-07  9.9789403e-09  2.2067502e+02  2.2771980e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1427000e+05  2.1835100e+03  1.2029579e+02  5.9756459e-07  1.0431500e+04  9.1667322e-04  4.1059264e-07  8.3333328e-06  4.3454752e-07  9.9999999e-09  2.8681986e+02  5.9435336e-07  1.5918503e-07  9.9789403e-09  2.0265444e+02  2.0905291e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1433000e+05  2.1835100e+03  1.1972851e+02  6.6399277e-07  1.0431500e+04  7.2500233e-04  3.6769483e-07  8.3333328e-06  4.3311268e-07  9.9999999e-09  2.8674170e+02  6.0154865e-07  2.4594952e-07  9.9789403e-09  2.0148247e+02  2.0787131e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1439000e+05  2.1835100e+03  7.7394760e+01  5.9886147e-07  1.0431500e+04  5.9167812e-04  3.4648243e-07  0.0000000e+00  2.7278775e-07  9.9999999e-09  1.6250748e+02  5.2167002e-07  1.9819022e-07  9.9789403e-09  1.3057284e+02  1.3459183e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1445000e+05  2.1835100e+03  1.0276512e+02  6.1561624e-07  1.0431500e+04  9.9166935e-04  4.0129568e-07  2.4999998e-05  2.9111037e-07  9.9999999e-09  2.4765868e+02  5.0162016e-07  2.4059781e-07  9.9789403e-09  1.7298145e+02  1.7850635e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1451000e+05  2.1835100e+03  1.2942368e+02  5.8514830e-07  1.0431500e+04  8.0834692e-04  3.7400346e-07  0.0000000e+00  3.2369503e-07  9.9999999e-09  3.0965567e+02  5.9606973e-07  2.6221565e-07  9.9789403e-09  2.1756017e+02  2.2477346e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1457000e+05  2.1835100e+03  7.8889423e+00  5.4617384e-07  1.0431500e+04  3.0833702e-04  3.5431885e-07  0.0000000e+00  1.1434663e-07  9.9999999e-09  2.4424149e+02  6.0944547e-07  2.2216466e-07  9.9789403e-09  1.5345328e+01  1.5898478e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1463000e+05  2.1835100e+03  8.1712096e+01  4.5062710e-07  1.0431500e+04  2.4999998e-04  3.6975163e-07  1.6666666e-05  3.5084197e-07  9.9999999e-09  2.2771153e+02  5.8501598e-07  2.1618775e-07  9.9789403e-09  1.3904473e+02  1.4264820e+02  1.6874050e-01  2.7142485e-01  0.0000000e+00  0.0000000e+00
  1.1469000e+05  2.1835100e+03  9.8954914e+01  5.0866774e-07  1.0431500e+04  3.0834039e-04  4.1432489e-07  0.0000000e+00  3.1240921e-07  9.9999999e-09  3.0454448e+02  5.8358539e-07  1.9970175e-07  9.9789403e-09  1.6671562e+02  1.7227578e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1475000e+05  2.1835100e+03  1.3849685e+02  6.3863711e-07  1.0431500e+04  2.8333332e-04  3.4292842e-07  2.4999998e-05  4.8282076e-07  9.9999999e-09  3.2890399e+02  6.3409556e-07  1.5469862e-07  9.9789403e-09  2.3103416e+02  2.3925189e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1481000e+05  2.1835100e+03  7.3440429e+01  6.2745188e-07  1.0431500e+04  2.6666665e-04  3.9883780e-07  0.0000000e+00  3.6844511e-07  9.9999999e-09  1.7799713e+02  6.0958684e-07  2.0833214e-07  9.9789403e-09  1.2380237e+02  1.2827341e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1487000e+05  2.1835100e+03  4.0384852e+01  4.9813656e-07  1.0431500e+04  2.6666665e-04  3.3560275e-07  1.6666666e-05  1.6860369e-07  9.9999999e-09  2.0464446e+02  4.4065667e-07  2.3406349e-07  9.9789403e-09  7.2632603e+01  7.4949548e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1493000e+05  2.1835100e+03  1.4269816e+02  5.9263510e-07  1.0431500e+04  3.7500285e-04  4.3701843e-07  8.3333328e-06  4.4399825e-07  9.9999999e-09  3.3835084e+02  6.3567105e-07  2.0716252e-07  9.9789403e-09  2.3867797e+02  2.4611579e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1499000e+05  2.1835100e+03  1.3347868e+02  7.0330293e-07  1.0431500e+04  4.1667342e-04  4.3280634e-07  3.3333331e-05  4.1176143e-07  9.9999999e-09  3.0610055e+02  6.2642169e-07  2.1012179e-07  9.9789403e-09  2.2390202e+02  2.3047065e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1505000e+05  2.1835100e+03  1.3969929e+02  7.1913724e-07  1.0431500e+04  3.4166981e-04  4.3953485e-07  0.0000000e+00  5.1447448e-07  9.9999999e-09  3.3550568e+02  6.4605572e-07  2.5224407e-07  9.9789403e-09  2.3391510e+02  2.4096944e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1511000e+05  2.1835100e+03  1.2368854e+02  7.6571248e-07  1.0431500e+04  3.7499998e-04  3.8718914e-07  0.0000000e+00  4.4535120e-07  9.9999999e-09  2.9499568e+02  6.4094008e-07  2.4237536e-07  9.9789403e-09  2.0688627e+02  2.1314098e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1517000e+05  2.1835100e+03  1.4117484e+02  7.7399723e-07  1.0431500e+04  2.5000355e-04  3.6811671e-07  8.3333328e-06  4.8484022e-07  9.9999999e-09  3.3591771e+02  6.3092887e-07  1.8930867e-07  9.9789403e-09  2.3614194e+02  2.4331474e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1523000e+05  2.1835100e+03  1.3479525e+02  6.9030341e-07  1.0431500e+04  3.3583901e-04  4.1958695e-07  0.0000000e+00  5.2423824e-07  9.9999999e-09  3.0785729e+02  6.1304015e-07  1.9190349e-07  9.9789403e-09  2.2572007e+02  2.3255194e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.1529000e+05  2.1835100e+03  1.2454694e+02  7.1154219e-07  1.0431500e+04  4.2249428e-04  4.1491901e-07  8.3333328e-06  5.1158512e-07  9.9999999e-09  3.0470070e+02  6.8338596e-07  2.0127224e-07  9.9789403e-09  2.0938213e+02  2.1557895e+02  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
