   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  2.9700000e+03  2.1835100e+03  2.4999998e-05  1.8471292e-07  1.0431500e+04  8.3333328e-06  3.2175858e-07  8.3333328e-06  3.0625967e-07  9.9999999e-09  3.0498447e-01  1.9143332e-07  9.5853741e+01  9.9999999e-09
  3.0300000e+03  2.1835100e+03  3.3333331e-05  1.9169511e-07  1.0431500e+04  2.4999998e-05  3.3806941e-07  0.0000000e+00  4.0973477e-07  9.9999999e-09  2.7835287e-01  1.6948646e-07  9.5048726e+01  9.9999999e-09
  3.0900000e+03  2.1835100e+03  0.0000000e+00  2.1208059e-07  1.0431500e+04  8.3333328e-06  3.5394800e-07  8.3333328e-06  2.7776963e-07  9.9999999e-09  2.9500181e-01  1.9367713e-07  9.0385235e+01  9.9999999e-09
  3.1500000e+03  2.1835100e+03  8.3333328e-06  2.2149714e-07  1.0431500e+04  8.3333328e-06  3.4780810e-07  8.3333328e-06  1.8291996e-07  9.9999999e-09  3.0375134e-01  2.1196888e-07  9.2057231e+01  9.9999999e-09
  3.2100000e+03  2.1835100e+03  8.3368624e-06  1.9153643e-07  1.0431500e+04  0.0000000e+00  3.8667050e-07  2.5003605e-05  1.8711459e-07  9.9999999e-09  2.8375177e-01  1.9533644e-07  8.8598158e+01  9.9999999e-09
  3.2700000e+03  2.1835100e+03  8.3333328e-06  2.3718007e-07  1.0431500e+04  8.3333328e-06  3.4572317e-07  0.0000000e+00  1.8094299e-07  9.9999999e-09  2.9417006e-01  2.0653471e-07  8.7968821e+01  9.9999999e-09
  3.3300000e+03  2.1835100e+03  0.0000000e+00  2.0645130e-07  1.0431500e+04  0.0000000e+00  3.3825077e-07  2.4999998e-05  2.7262747e-07  9.9999999e-09  2.9958451e-01  1.5083383e-07  8.7407011e+01  9.9999999e-09
  3.3900000e+03  2.1835100e+03  8.3375971e-06  1.5652735e-07  1.0431500e+04  8.3333328e-06  3.6089414e-07  0.0000000e+00  2.6103469e-07  9.9999999e-09  3.0083609e-01  1.7827718e-07  8.8207598e+01  9.9999999e-09
  3.4500000e+03  2.1835100e+03  2.4999998e-05  2.4363436e-07  1.0431500e+04  0.0000000e+00  3.5449415e-07  8.3333328e-06  3.9544663e-07  9.9999999e-09  3.0250165e-01  1.5573471e-07  8.8691407e+01  9.9999999e-09
  3.5100000e+03  2.1835100e+03  2.4999998e-05  2.3096458e-07  1.0431500e+04  2.4999998e-05  3.3177425e-07  0.0000000e+00  1.0442445e-06  9.9999999e-09  2.8791779e-01  1.6278504e-07  8.8455377e+01  9.9999999e-09
  3.5700000e+03  2.1835100e+03  0.0000000e+00  2.4427028e-07  1.0431500e+04  0.0000000e+00  3.7915631e-07  0.0000000e+00  5.9400725e-07  9.9999999e-09  2.8072151e-01  2.3012023e-07  8.7543233e+01  9.9999999e-09
  3.6300000e+03  2.1835100e+03  8.3333328e-06  2.0924524e-07  1.0431500e+04  8.3333328e-06  3.6727937e-07  2.4999998e-05  3.1965305e-07  9.9999999e-09  2.8344868e-01  2.4717877e-07  8.5368773e+01  9.9999999e-09
  3.6900000e+03  2.1835100e+03  0.0000000e+00  1.7223082e-07  1.0431500e+04  8.3333328e-06  4.1563436e-07  8.3333328e-06  4.7519570e-07  9.9999999e-09  3.0625256e-01  1.7519162e-07  8.6203726e+01  9.9999999e-09
  3.7500000e+03  2.1835100e+03  1.6666666e-05  1.6830688e-07  1.0431500e+04  2.4999998e-05  2.9927617e-07  1.6666666e-05  4.2830003e-07  9.9999999e-09  2.9375203e-01  2.1801307e-07  8.7432776e+01  9.9999999e-09
