    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  1.4700000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  5.0833330e-04  9.9719299e-10  8.3360684e-06  9.4807120e-08  9.9999999e-09  2.4333418e-01  1.8768906e-03  9.8712258e+00  6.3750176e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.5300000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.1667584e-04  9.9719299e-10  8.3333328e-06  6.5264235e-08  9.9999999e-09  2.4125178e-01  7.2059609e-04  9.7811534e+00  4.9764330e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.5900000e+03  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  5.8334328e-04  9.9719299e-10  0.0000000e+00  3.0060555e-08  9.9999999e-09  2.4730378e-01  1.1636533e-03  8.2788118e+00  5.8191725e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.6500000e+03  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  5.3333330e-04  9.9719299e-10  0.0000000e+00  7.9380318e-08  9.9999999e-09  2.4311518e-01  2.1372524e-03  7.8687942e+00  6.9939595e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.7100000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  3.8333997e-04  9.9719299e-10  0.0000000e+00  4.2301345e-08  9.9999999e-09  2.3916837e-01  3.2539912e-03  8.0188484e+00  1.9402116e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.7700000e+03  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  4.2500705e-04  9.9719299e-10  0.0000000e+00  3.3000882e-08  9.9999999e-09  2.4875104e-01  4.2652497e-03  8.0083440e+00  4.8398680e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.8300000e+03  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  4.0833331e-04  9.9719299e-10  0.0000000e+00  6.1601688e-08  9.9999999e-09  2.2583426e-01  2.9443860e-04  7.9840311e+00  4.8271892e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.8900000e+03  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.7500734e-04  9.9719299e-10  0.0000000e+00  9.5487796e-08  9.9999999e-09  2.3583511e-01  2.5607703e-03  7.9244919e+00  3.3659144e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.9500000e+03  1.9226899e+03  1.6666666e-05  9.9719299e-10  1.9226899e+03  4.1666941e-04  9.9719299e-10  0.0000000e+00  6.7558022e-08  9.9999999e-09  2.3333495e-01  2.0142893e-03  7.9670999e+00  2.6893123e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.0100000e+03  1.9226899e+03  3.3336765e-05  9.9719299e-10  1.9226899e+03  4.3333671e-04  9.9719299e-10  0.0000000e+00  6.3662938e-08  9.9999999e-09  2.6541842e-01  3.3173405e-03  8.0372828e+00  4.1520686e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
