   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  2.7900000e+03  2.1835100e+03  8.3333328e-06  9.1919397e-08  1.0431500e+04  8.3333328e-06  1.2187605e-08  1.6666666e-05  1.0578400e-08  9.9999999e-09  3.7750231e-01  2.0033606e-07  3.8752600e-08  2.0207264e-07
  2.8500000e+03  2.1835100e+03  1.6666666e-05  1.2013855e-07  1.0431500e+04  2.4999998e-05  1.7710662e-08  0.0000000e+00  1.0578400e-08  9.9999999e-09  3.9750402e-01  1.9811365e-07  6.4647045e-08  5.6616307e-08
  2.9100000e+03  2.1835100e+03  2.4999998e-05  8.1981604e-08  1.0431500e+04  5.8333330e-05  2.4205248e-08  1.6666666e-05  1.0578400e-08  9.9999999e-09  3.8208644e-01  2.0274593e-07  8.9995109e-08  1.1451240e-07
  2.9700000e+03  2.1835100e+03  1.6666666e-05  8.1103396e-08  1.0431500e+04  1.6666666e-05  1.4354551e-08  1.6666666e-05  1.0578400e-08  9.9999999e-09  3.9583518e-01  1.8358369e-07  1.4447437e-07  1.0530979e-07
  3.0300000e+03  2.1835100e+03  2.4999998e-05  7.7532076e-08  1.0431500e+04  1.6666666e-05  5.5254832e-08  8.3333328e-06  1.0578400e-08  9.9999999e-09  3.8125161e-01  1.1631264e-07  9.4371943e-08  7.6334126e-08
  3.0900000e+03  2.1835100e+03  1.6666666e-05  1.2163156e-07  1.0431500e+04  2.4999998e-05  3.2160583e-08  2.4999998e-05  1.0578400e-08  9.9999999e-09  3.9458542e-01  1.9724861e-07  6.4905933e-08  8.8021062e-08
  3.1500000e+03  2.1835100e+03  8.3333328e-06  9.2539050e-08  1.0431500e+04  2.4999998e-05  1.6446658e-08  2.4999998e-05  1.0782329e-08  9.9999999e-09  4.0358684e-01  1.8833155e-07  7.1841748e-08  5.8400135e-08
  3.2100000e+03  2.1835100e+03  1.6666666e-05  1.4620130e-07  1.0431500e+04  8.3333328e-06  3.9354395e-08  2.4999998e-05  1.1713831e-08  9.9999999e-09  4.0891741e-01  1.6209710e-07  7.8964831e-08  1.2409484e-07
  3.2700000e+03  2.1835100e+03  0.0000000e+00  7.6427784e-08  1.0431500e+04  3.3333331e-05  1.5730658e-08  1.6666666e-05  1.3024900e-08  9.9999999e-09  4.3815177e-01  1.8331377e-07  8.9712905e-08  9.7770260e-08
  3.3300000e+03  2.1835100e+03  1.6666666e-05  6.7048516e-08  1.0431500e+04  8.3333328e-06  9.4135704e-09  2.4999998e-05  1.3024900e-08  9.9999999e-09  3.9476900e-01  1.2814103e-07  6.0189542e-08  7.7395217e-08
  3.3900000e+03  2.1835100e+03  0.0000000e+00  1.0009401e-07  1.0431500e+04  8.3333328e-06  3.3983055e-08  0.0000000e+00  1.3024900e-08  9.9999999e-09  4.0792084e-01  1.1721361e-07  3.7360901e-08  1.7207790e-08
  3.4500000e+03  2.1835100e+03  1.6666666e-05  1.7699772e-07  1.0431500e+04  7.4999995e-05  9.9999999e-09  8.3333328e-06  1.3024900e-08  9.9999999e-09  3.9791977e-01  2.0060179e-07  5.3116032e-08  5.9920007e-08
  3.5100000e+03  2.1835100e+03  1.6666666e-05  5.7823212e-08  1.0431500e+04  3.3333331e-05  1.4546642e-08  0.0000000e+00  1.3024900e-08  9.9999999e-09  3.8625183e-01  2.1563398e-07  6.2515660e-08  1.5154901e-08
  3.5700000e+03  2.1835100e+03  1.6666666e-05  1.2624936e-07  1.0431500e+04  4.9999997e-05  2.5428007e-08  1.6666666e-05  1.3024900e-08  9.9999999e-09  3.9708568e-01  2.1279816e-07  5.8546338e-08  2.8859115e-08
  3.6300000e+03  2.1835100e+03  1.6666666e-05  1.0515508e-07  1.0431500e+04  4.9999997e-05  2.6177604e-08  2.4999998e-05  1.3024900e-08  9.9999999e-09  4.0458597e-01  2.1469594e-07  1.1067519e-07  2.0833161e-08
  3.6900000e+03  2.1835100e+03  2.4999998e-05  1.5323941e-07  1.0431500e+04  3.3333331e-05  2.9321001e-08  1.6666666e-05  1.3024900e-08  9.9999999e-09  3.9750224e-01  2.1834864e-07  9.9917195e-08  2.9971727e-08
  3.7500000e+03  2.1835100e+03  2.4999998e-05  1.2856463e-07  1.0431500e+04  4.9999997e-05  1.4656100e-08  4.1666664e-05  1.5613056e-08  9.9999999e-09  3.9807571e-01  1.8704709e-07  5.6530438e-08  2.9008557e-08
